YEAR/MONTH|DEVICE_REPORT_PRODUCT_CODE|EVENT_TYPE
2006/04|MAF|IN|56
2006/04|MAF|M|30
2006/04|MAF|O|1
2006/04|NIQ|*|5
2006/04|NIQ|D|64
2006/04|NIQ|IN|244
2006/04|NIQ|M|146
2006/05|MAF|D|11
2006/05|MAF|IN|53
2006/05|MAF|M|28
2006/05|NIQ|D|81
2006/05|NIQ|IN|297
2006/05|NIQ|M|176
2006/05|NIQ|O|1
2006/06|MAF|D|7
2006/06|MAF|IN|50
2006/06|MAF|M|44
2006/06|MAF|O|1
2006/06|NIQ|D|50
2006/06|NIQ|IN|268
2006/06|NIQ|M|134
2006/07|MAF|D|8
2006/07|MAF|IN|55
2006/07|MAF|M|24
2006/07|NIQ|D|48
2006/07|NIQ|IN|236
2006/07|NIQ|M|115
2006/07|NIQ|O|1
2006/08|MAF|D|11
2006/08|MAF|IN|51
2006/08|MAF|M|34
2006/08|NIQ|*|4
2006/08|NIQ|D|56
2006/08|NIQ|IN|297
2006/08|NIQ|M|149
2006/09|MAF|D|7
2006/09|MAF|IN|49
2006/09|MAF|M|42
2006/09|NIQ|*|2
2006/09|NIQ|D|41
2006/09|NIQ|IN|275
2006/09|NIQ|M|92
2006/10|MAF|D|5
2006/10|MAF|IN|36
2006/10|MAF|M|38
2006/10|NIQ|*|1
2006/10|NIQ|D|45
2006/10|NIQ|IN|256
2006/10|NIQ|M|139
2006/11|MAF|D|13
2006/11|MAF|IN|42
2006/11|MAF|M|27
2006/11|MAF|O|2
2006/11|NIQ|*|2
2006/11|NIQ|D|67
2006/11|NIQ|IN|272
2006/11|NIQ|M|130
2006/12|MAF|D|4
2006/12|MAF|IN|50
2006/12|MAF|M|39
2006/12|NIQ|*|1
2006/12|NIQ|D|22
2006/12|NIQ|IN|275
2006/12|NIQ|M|111
2006/12|NIQ|O|1
2007/01|MAF|D|4
2007/01|MAF|IN|52
2007/01|MAF|M|38
2007/01|MAF|O|2
2007/01|NIQ|*|2
2007/01|NIQ|D|53
2007/01|NIQ|IN|252
2007/01|NIQ|M|128
2007/02|MAF|D|5
2007/02|MAF|IN|40
2007/02|MAF|M|49
2007/02|NIQ|*|2
2007/02|NIQ|D|34
2007/02|NIQ|IN|233
2007/02|NIQ|M|114
2007/03|MAF|D|13
2007/03|MAF|IN|43
2007/03|MAF|M|45
2007/03|NIQ|*|1
2007/03|NIQ|D|44
2007/03|NIQ|IN|233
2007/03|NIQ|M|113
2007/04|MAF|D|6
2007/04|MAF|IN|57
2007/04|MAF|M|28
2007/04|MAF|O|2
2007/04|NIQ|D|37
2007/04|NIQ|IN|292
2007/04|NIQ|M|88
2007/05|MAF|D|17
2007/05|MAF|IN|71
2007/05|MAF|M|40
2007/05|NIQ|*|2
2007/05|NIQ|D|27
2007/05|NIQ|IN|280
2007/05|NIQ|M|113
2007/06|MAF|D|6
2007/06|MAF|IN|59
2007/06|MAF|M|57
2007/06|NIQ|D|49
2007/06|NIQ|IN|265
2007/06|NIQ|M|97
2007/07|MAF|D|5
2007/07|MAF|IN|46
2007/07|MAF|M|44
2007/07|NIQ|D|30
2007/07|NIQ|IN|206
2007/07|NIQ|M|96
2007/08|MAF|D|7
2007/08|MAF|IN|47
2007/08|MAF|M|46
2007/08|NIQ|D|24
2007/08|NIQ|IN|197
2007/08|NIQ|M|115
2007/09|MAF|D|12
2007/09|MAF|IN|42
2007/09|MAF|M|48
2007/09|NIQ|D|39
2007/09|NIQ|IN|234
2007/09|NIQ|M|93
2007/10|MAF|D|9
2007/10|MAF|IN|44
2007/10|MAF|M|39
2007/10|NIQ|D|24
2007/10|NIQ|IN|268
2007/10|NIQ|M|104
2007/11|MAF|D|13
2007/11|MAF|IN|41
2007/11|MAF|M|43
2007/11|NIQ|D|43
2007/11|NIQ|IN|249
2007/11|NIQ|M|99
2007/12|MAF|*|1
2007/12|MAF|D|7
2007/12|MAF|IN|47
2007/12|MAF|M|45
2007/12|NIQ|*|1
2007/12|NIQ|D|34
2007/12|NIQ|IN|218
2007/12|NIQ|M|97
2007/12|NIQ|O|1
2008/01|MAF|D|15
2008/01|MAF|IN|43
2008/01|MAF|M|45
2008/01|NIQ|D|30
2008/01|NIQ|IN|316
2008/01|NIQ|M|110
2008/01|NIQ|O|1
2008/02|MAF|D|14
2008/02|MAF|IN|48
2008/02|MAF|M|45
2008/02|NIQ|D|67
2008/02|NIQ|IN|267
2008/02|NIQ|M|125
2008/03|MAF|*|1
2008/03|MAF|D|23
2008/03|MAF|IN|55
2008/03|MAF|M|49
2008/03|NIQ|*|1
2008/03|NIQ|D|29
2008/03|NIQ|IN|304
2008/03|NIQ|M|117
2008/04|MAF|D|11
2008/04|MAF|IN|40
2008/04|MAF|M|41
2008/04|NIQ|*|2
2008/04|NIQ|D|33
2008/04|NIQ|IN|243
2008/04|NIQ|M|125
2008/05|MAF|*|1
2008/05|MAF|D|7
2008/05|MAF|IN|41
2008/05|MAF|M|40
2008/05|NIQ|D|31
2008/05|NIQ|IN|238
2008/05|NIQ|M|121
2008/06|MAF|D|10
2008/06|MAF|IN|48
2008/06|MAF|M|39
2008/06|NIQ|*|1
2008/06|NIQ|D|46
2008/06|NIQ|IN|232
2008/06|NIQ|M|129
2008/07|MAF|D|6
2008/07|MAF|IN|40
2008/07|MAF|M|46
2008/07|NIQ|D|36
2008/07|NIQ|IN|278
2008/07|NIQ|M|124
2008/08|MAF|*|1
2008/08|MAF|D|8
2008/08|MAF|IN|31
2008/08|MAF|M|41
2008/08|NIQ|D|43
2008/08|NIQ|IN|284
2008/08|NIQ|M|103
2008/09|MAF|D|9
2008/09|MAF|IN|57
2008/09|MAF|M|70
2008/09|NIQ|D|29
2008/09|NIQ|IN|277
2008/09|NIQ|M|103
2008/10|MAF|D|3
2008/10|MAF|IN|44
2008/10|MAF|M|76
2008/10|NIQ|D|34
2008/10|NIQ|IN|355
2008/10|NIQ|M|150
2008/11|MAF|D|9
2008/11|MAF|IN|48
2008/11|MAF|M|57
2008/11|NIQ|D|38
2008/11|NIQ|IN|349
2008/11|NIQ|M|121
2008/12|MAF|D|1
2008/12|MAF|IN|46
2008/12|MAF|M|70
2008/12|NIQ|*|2
2008/12|NIQ|D|48
2008/12|NIQ|IN|287
2008/12|NIQ|M|135
2009/01|MAF|D|6
2009/01|MAF|IN|29
2009/01|MAF|M|62
2009/01|MAF|O|1
2009/01|NIQ|*|2
2009/01|NIQ|D|38
2009/01|NIQ|IN|281
2009/01|NIQ|M|158
2009/02|MAF|D|4
2009/02|MAF|IN|32
2009/02|MAF|M|72
2009/02|NIQ|D|53
2009/02|NIQ|IN|275
2009/02|NIQ|M|190
2009/03|MAF|D|8
2009/03|MAF|IN|49
2009/03|MAF|M|67
2009/03|NIQ|*|4
2009/03|NIQ|D|41
2009/03|NIQ|IN|295
2009/03|NIQ|M|246
2009/04|MAF|D|4
2009/04|MAF|IN|45
2009/04|MAF|M|79
2009/04|NIQ|*|1
2009/04|NIQ|D|35
2009/04|NIQ|IN|266
2009/04|NIQ|M|191
2009/05|MAF|*|2
2009/05|MAF|D|8
2009/05|MAF|IN|42
2009/05|MAF|M|71
2009/05|NIQ|D|63
2009/05|NIQ|IN|311
2009/05|NIQ|M|216
2009/06|MAF|D|11
2009/06|MAF|IN|44
2009/06|MAF|M|60
2009/06|NIQ|*|1
2009/06|NIQ|D|47
2009/06|NIQ|IN|260
2009/06|NIQ|M|164
2009/07|MAF|D|10
2009/07|MAF|IN|51
2009/07|MAF|M|80
2009/07|NIQ|D|38
2009/07|NIQ|IN|253
2009/07|NIQ|M|150
2009/08|MAF|D|11
2009/08|MAF|IN|40
2009/08|MAF|M|51
2009/08|NIQ|*|1
2009/08|NIQ|D|64
2009/08|NIQ|IN|260
2009/08|NIQ|M|144
2009/09|MAF|D|6
2009/09|MAF|IN|43
2009/09|MAF|M|60
2009/09|NIQ|*|2
2009/09|NIQ|D|29
2009/09|NIQ|IN|238
2009/09|NIQ|M|147
2009/10|MAF|D|3
2009/10|MAF|IN|40
2009/10|MAF|M|70
2009/10|NIQ|D|27
2009/10|NIQ|IN|256
2009/10|NIQ|M|167
2009/11|MAF|D|10
2009/11|MAF|IN|19
2009/11|MAF|M|37
2009/11|NIQ|*|1
2009/11|NIQ|D|46
2009/11|NIQ|IN|252
2009/11|NIQ|M|136
2009/11|NIQ|O|1
2009/12|MAF|D|15
2009/12|MAF|IN|34
2009/12|MAF|M|42
2009/12|NIQ|*|2
2009/12|NIQ|D|59
2009/12|NIQ|IN|258
2009/12|NIQ|M|156
2010/01|MAF|D|5
2010/01|MAF|IN|52
2010/01|MAF|M|54
2010/01|MAF|O|1
2010/01|NIQ|*|3
2010/01|NIQ|D|67
2010/01|NIQ|IN|311
2010/01|NIQ|M|156
2010/02|MAF|D|6
2010/02|MAF|IN|35
2010/02|MAF|M|51
2010/02|NIQ|D|40
2010/02|NIQ|IN|320
2010/02|NIQ|M|104
2010/02|NIQ|O|1
2010/03|MAF|D|7
2010/03|MAF|IN|37
2010/03|MAF|M|51
2010/03|NIQ|D|47
